,Username,Comment
421,hella hella,Can we appreciate the dedication to quality content
422,Marah AL-Barwani,"Oh my god Jen's ringtone ""I'm a sucker for you"" !! Eeeeeeeep"
423,Atticus Loren,NATALIE!!!!!!
424,Sabrina Springer,Taipei booty 69 LOL
425,J L.,"OMG I SMILED SO BIG WHEN I SAW COMMUNITYCHANNEL XD
its been forever Natalie LOL"
426,Ninh Tran,BAT AND TAIKA WITH GEO LMAOO
427,Alex,"I recently remembered about Nat!!!! Hope she's been great

Lol Bart"
428,SidneyJane16,OMG YES!!! Good to see you Nat  <3! ^u^
429,Avani Pathak,
430,Daniel Sagun,The last 30 seconds of the skit is literally the best.
431,Ching-Hang Cheung,Natalie Tran what what?!
432,lisheng loyi,"the cameos are to die for :) Justin Min. Jason Mendoza. 
lowkey thought Ted would make an appearance. 
also 2:36 xD"
433,Frosty Games,"Lol I just uploaded how to get free unlimited netflix, just send them that video and reclaim your account"
434,O. J.,Thank you! Wong Fu is the best!!!
435,Ray Banks,Nat made a cameo here? Un-boh-lievable!
436,Surya Kapil,Bart and Taika in the background of Geo's scene lmaooo
437,yasss jesss,OMG WEYLIEE 
438,Kenneth Wu,LOL!
439,Laurel Thompson,Nattt
440,Fatfish.,I kind of love this video!?
441,felisha209,MANNYYYYY
442,Sheng Feliciano,Uh... change the password?
443,naveej,"Phil: I think someone else is using my Netflix account.
Concerned person: why don't you just change the password?
Phil: do you understand anything?
concerned person: ehh what?
Phil: How would I make an 11:11min long video out of that??"
444,Miguel Jimenez,This was the first time in a while that Ive actually been happy to see geo on a video.
445,Shueh Yew,Just change your bloody password nani???
446,Rohan Philip,So good to see Nat again! :D
447,Sheyla Gomes Castillo,Loved it!
448,Ryan Sell,OMGGG NATALIE :3 <333333333333333333333333333333333
449,William Tjeuw,"Honestly, it just got boring halfway through with all these Netflix logins... Just get a new one..."
450,Ratna Larisa,JASON FREAKING MENDOZA
451,Andrea,Okay but why did I tear up when Nat made her grand appearance :)
452,melloe,I would've kicked everyone off and reset my password after Taylor lol
453,cherie88cc92,Omg I miss Natalie!!!!
454,Grace Pang,I squealed when Natalie came out XD
455,Ravindra Sathyajith,ROFL  Geo talk in background bart & Taika in diaper
456,kp,Maintain social distance guys
457,SitcaLovTonio,Password reset 
458,TGoldSpud,I wish Ted was in this!
459,amicban,Justin and Jen 
460,Obara,Nothing makes you feel more empowered than changing your Netflix password.
461,keri alexandra,"i can't get over how good this is on so many levels, the writing, acting, direction, etc. also what an asian representation in media flex, we stan!!!"
462,keri alexandra,"""uh YEa! of course how are you?"" LMAO"
463,thelittleivorykeys,Omgkgjfjdjskjsjs community channel I actually audibly gasped when I saw the reveal!!!!!!!!!!!!
464,Vincent Wong,This was incredible.
465,asdbrg,NATALIE TRAN <3
466,Brian Hack,"I still ain't gonna get a Hulu or Netflix or use anyone elses... I got all these DVDs, CDs, Youtube... and... it has been a long time but... surely the torrentting community is still strong.

Gosh, I am the problem."
467,Alicia Lai,"Rip, it took me until 8:42 to realize the parallelism. Well done, I applaud you :)"
468,AviAeroAsis,You never fail to amaze.
469,Jianne Thea Gordo,My gosh my heart just blew with that justin and jenn bit
470,Keith chan,"it's been so long!!!!! 
Love you guys! 
awesome video!!!!!"
471,Cherryblossom ink,Wait cant he just change his password so he doesnt have to pay that mug and he did and now they used another one lol  great twist start the steam of wonder again 
472,Samantha Lee,I would have changed my password after the third call max.
473,Susan Chen,Natalie MY QUEEN
474,suejan3,Community channel 
475,classical7,
476,B,I would've just changed the password kicking everyone out 
477,Jeremy Yeo,She is truly a Nat-ional treasure
478,Yokutxa Marixe,A masterpiece. That's it!
479,Gül Yu,OMG THIS IS SO FUNNY LOVE IT
480,Hannah Williams,This was amazing!!
481,asyouveknown,Natalie Tran!
482,Berna D,NAT?!?
483,Aku,Phil looks really attractive with the facial hair ngl
484,LaGantoise,"This video is like ""The Beauty Inside"".. all these famous people in 1 video."
485,MissSimplyKC,but wongfu has curated where when i see justin i think of jen now hahah #lunchbreak
486,Jesse Dishner,So nice to see Nat is alive and (hopefully) well.
487,Crazy Kota,Just change password and wait for everyone to call you
488,Charisma Quiambao,Change the password. Then ignore them when they ask for it. Lol
489,Andy,Natalie!!!!!!!!
490,Hannah,Wiiiild! Great content!
491,catherine !,oh dip! wong fu had to share the most creative way to name drop everyone. the abg ringtone just made it *chef's kiss*
492,Rickroid,I get you Phil!!! Why shave?!
493,PrinceLuuLuu,"Hahahahahahahha me just watching this video and realising he shouldve changed his password at the beginning made me feel dumb, cause I just figured that solution halfway"
494,feedthesnake,"if nat had shared the login with different versions of herself, i would have died right there."
495,Jilli C,Helen's ringtone is the ABG intro music!
496,Milene Isabel,Amazing cast
497,Sabrina sp2,I really thought Netflix sponsored this video. They should've. It's awesome.
498,Raad Asif,Epic collab! especially in these self-isolated times. Love you Wong Fu
499,c,thank you for filling my 3 year communitychannel void. my heart is so full
500,Alfonso Samuel,i think i have your netflix account too HAHAHAHA. it spreads so fast lol :))
501,Mike Lee,Natalie!
502,edwinaryanquek,BEAW FAMMMMMM!!!
503,Nico Delingon,Geo!!!!!:))))
504,Thet Htun,You know... u can just download what u want to watch and log off.
505,Camillia,Oh my gosh it's NATTT!!!
506,amourjodi,"this is so nostalgic. natalie tran common` !! was expecting kevjumba, lilcdawg too lol"
507,Josh,Lol bart
508,jrdmedia,"That was a smart way to show your subscribers that everyone's doing okay during these difficult times. Thank you, keep safe, Wong Fu Productions!"
509,Bee Xiong,"The fact that a collab was still possible without having everyone in the same room, amazes me!

Government: Practice Social Distancing. No large gatherings. 

Wong Fu Productions: Challenge accepted!"
510,Just a Kai,so should i logout?
511,Kay Low,the cameos omg AND CAN JENN AND JUSTIN GET TOGETHER ALRDY
512,yuena4,You do know you can logout of all session under settings? Then you just need to change your password LOL
513,Nicole Cheng (NHYC),was shook to see weylie in this!  so happy to have seen so many familiar faces too!
514,whittlewhizz,"Thank you so much for making this Wong Fu! Honestly haven't felt this much happiness watching something in so long, didn't know I needed this until I watched it! Loved seeing so many familiar faces and idols. Keep up the amazing work! And Natalie Tran please come back to Youtube!!"
515,Lee杰,The R-nought of this spread is 5!
516,Lee杰,The R-nought of this spread is 10000! 
517,DonotsleeponBAP,6:45 GOSH I MISSED YOU
518,DonotsleeponBAP,6:45 YOU'RE ALIVE!!! How? Where? When? I have so many questions
519,MysteryCraftGirl,OMG ! I lost it when I saw Natalie !
520,Nicole S,This blew up in the best way possible - NATALIE!!!!
521,Nicole S,Manny!!!
522,Siqiu You,Nat got a tattoo
523,Yan Zhe Ong,Blake Bortles!!!
524,HeyyJonah,IM CRYING DID I JUST SEE NATALIE T_T T_T T_T it's been so long!!
525,Loki the god of mischief,"Phil going from ""how are you"" to ""get off my Netflix pls :D"""
526,Hannah Shum,"my fav part is when bart and taika are running in diapers in the background of geo's call, HAHA"
527,Casie Silverman,Netflix needs to use this as promotion
528,It'sGillian,"HOly fck, Natalie does not age at all."
529,Her Yang,Natalie!!!! 
530,The Weekend Driver,lol. What math.
531,zannex,I wouldve changed the password at that point smh
532,Abhigyan Chakraborty,Shit Geo has two babies her husband and her child
533,usmanater,Haha that was great
534,Lunitacruz86,"AMAZIIIIIIIIING!!!!!!  WONGFU never let me down!! I laughed and it made my morning better, specially at the"" Hey honeyyyyy"" I was like how you gon change like that when it's your girl  Thank you guys so much!! #Wongfulife4ever"
535,Sheryl4,"Was getting so happy/nostalgic over this video and then NATALIE
NATALIE SHOWS UP I'm gonna break into tears (yes I know she just livestreamed recently but)
NATALIE"
536,Ryan Padua,I fucking screamed seeing Nat and Anna AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA you don't know how much this made me happy right now and no I'm not crying haha 
537,Jiali Yang,ANIMAL CROSSING THE BACKGROUND YES
538,Cindy La,You can just use your main account to sign everyone out  Problem solved
539,ThapeloMoima,can i please have the login too?
540,Chelseaanne Domingo,Is phil doing this before helen will eventually cut his hair? 
541,ganonk79,So many people have his login and he just now ran into his 2 screen limit?
542,fashion3ninja,Yarse! Natalie <3
543,lolitzshelly,NATALIE???? Best video ever!!!!!
544,gulamelaka77,"Nat!!!!!! We miss you!!


All my 4 accounts."
545,Eileen,OMO Justin on Jenn! 
546,Kriss-Anne Tolentino,I freakin love this so much. I want to see them all in a movie together one day!!
547,IYI WOLF IYI,Omg this was G O L D
548,Minorityx93,Man I missed Natalie so much  thanks for this guys!!! I loved it so muchhh
549,jennifer tran,Soooooo that's why Bart needed matching diapers 
550,Justine Koa,HAHAHA I loved this and natalie tran!!!
551,Jess V,"Justin's Parasite tee, I need that. Umbrella Academy, I watch that. Netflix, I have that. Friends, I'm getting emotional here need I be reminded, jk.  Thank you, I needed all of these cameos."
552,northernstarlite,Great one.
553,MC Domingo,Natalie from communitychannel!! the best surprise we need in 2020
554,Marsha Q,"This is cute and all but if you go to Netflix settings on the website you can change your password and make it ask you for the password every time you come in and then it will log everybody off!! 

Yes I have had to do this..."
555,inuyashaanime90,Thank you for uploading during these rough times
556,Jean From BeautyShopPH,I cant believe it with taipeibooty69@hotmail.com! HAHAHAHHAHAA
557,Jean From BeautyShopPH,Oh my god this is brilliant the longer it got. 
558,Cahidi Joyo Raharjo,That's what I call abusing someone's Netflix Login. 
559,Yuki SnowDay,Anna Akana 
560,EM once,quick appearance of Itaewon Class
561,Rumor,"Haha, just a simple disconnect everyone or change password would fix this."
562,Jacob Raphael Yulo,jacksonville style baby! 2000 points!
563,Naomi E.,OMYGOD NATALIE TRAN MAKING A CAMEO IS THE BEST SURPRISE EVER
564,Shenali,OMG9MGOGMOGMFOFMFOFMFKFMFKFKFMFKKFMFOMG!!!!!! NATALIEEEEEEEE LOVE
565,Kathleen Mae,"I think you missed Ryan on this one, it was probably him who was using your Netflix "
566,Wesley B,Rick and Morty for Netflix plz.
567,Xukeepa x,didnt Nat die?
568,3llaButterCup,NATALIEEEE
569,Mark Shan,MANNY JACINTO?? NAT????? OH MY GOD
570,Courtnie Kom,THIS. i lost it when I saw natalie i can't believe you resurrected her from the dead
571,antho,When all your favs come together. 
572,John Smith,"One of my all-time favourite Wong Fu sketches.  With some of my all-time favourite youtubers.  Love the cranky Anna (seen that before) and the evil mastermind Nat (that's new!)
Thank you very much for the laughs, it was welcome and awesome."
573,Loş Kar,Nice
574,Alex Chen,Taylor's acting is soooo good
575,Minh Thu,6:27....Omg lol
576,kat,So thaaaats the account Ive been using
577,Stefany Soh,LOVE this
578,Allison Pie,Omg its nat that's omggg she looks so differnet I miss her 
579,Starfait,MANNY
580,JennyOrdinary,"In true Wong Fu fashion, this is so well done. Amazing cameos - my heart exploded when Natalie showed up. Thank you for creating a video we definitely needed in this quarantine"
581,Penny Wong,IT'S NAT!!!!!! :O
582,Mandy Yeung,Looooool just change the password 
583,sana karam,NATALIE TRAN I'M SCREAMING
584,TheCeska90,And thats why I dont share my login 
585,aturnasal,THAT PLOT TWIST WHEN THE CHAIR SPINS AROUND OMG
586,Calida,"Bart & Taika in matching diapers, CLASSIC"
587,Stella Ng,Me want Ted cameo >w<
588,Ane Emelia sings,Omfg. This is AMAZING. AND NATALIEEEEE omg dead
589,Dyl H,Who remembers when they got churros at costco
590,ryohazuki605,lol bart with diapers 
591,Brndo L.,THis is the biggest crossover this quarantine
592,Brndo L.,Itaewon Class letssss gooo
593,Tammy Nguyen,"When Nat turned around in that chair, that gave me so many feels. I miss her so much!"
594,Credible In Cooking,This is my favorite video in a long time!!
595,Phil Chao,no wonder taipeibooty69@hotmail.com was taken already!!!
596,Mimi huynh,Omg weylie!!!! 
597,Sabine Hoff,Jenn I'll listen to your boy problems 
598,CocoDomo92,"The whole time my thought was : 
just change your password "
599,TheVeyronette,WEYLIE!!
600,k,NAT!!!!!!!!!!!!!!!
601,Michelle Wee,collaboration we didn't expect it to happen 
602,ashley,"I love that with every call I went *gasp* oh hi there! I know you x repeatedly
And WEYLIEEEEE HIII that was unexpected haha
Love this concept so much!"
603,Elson Lee,damn
604,itsjustjia【嘉在纽约】,"ALSO THIS IS EVERYONE I LOVE!!!!! is this a cult, and how do i join!"
605,kat,rewatching 100000 times for justin and jenn
606,itsjustjia【嘉在纽约】,"lolololol ""who's not watching itaewon, IM watching itaewon"" lololllol"
607,Chris Cantada Force,The cameos were lit!  Great job as always.
608,Johnley,IM SCREAMMINNG JUSTIN AND JENN NEEDS TO HAPPEN
609,surfrgrlsophia,omg communitychannel!!!
610,Kevin Lor,Dam! If Endgame made a baby with Coronavirus!!!
611,Snovaz _,"Damn, so many Netflix actors"
612,Michael Kwan,Wait. Phil and Tay are roomies IRL?
613,Ethan Yu,hahaha this is relatable
614,Tophrii,"I LOVED THIS. :)
The special guests were all amazing and was totally a step into memory lane. <3"
615,pravinrj17,AHHHHHHH OMG OMG OMG NATTTTT
616,Tang63,"Loved this at 9:00 - 'the world is already so divided, dare we decide to be more divisive with our devices'"
617,Sona_Bae〈3,"When I saw Nat, I legit gasped. The gasp just escaped my mouth"
618,Monica Angel,"OMAIGOSH
IM PAUSING THIS VIDEO TO WRITE THIS COMMENT RIGHT NOW


IM SO FRICKEN EXCITED TO SEE COMMUNITYCHANNELLLLL ARGHHH

What a pleasant surprise. 
Btw, kudos to wongfu for using this time to still be creatively productive. U guys r the coolest,"
619,AMAMI FUMIKO,Natalie being the antagonist is the best thing ever <3
620,Dennis Wei,loveeee manny from the good place
621,ardenBcho,Yo!!! Whyd u change the password!! Im trying to finish Itaewon class!!! Noooooooo 
622,Mandy M,Natalie!! I literally screamed omg! So nice to see you on youtube again!
623,LiLyMoOnCaKeSxo,OMG I SCREAMED WHEN I SAW NATALIE! I MISS HER!!! THANK YOU FOR HAVING HER!
624,wamdy,manny!!! weylieeee 
625,LiLyMoOnCaKeSxo,LOL SIMU
626,plotsual1,Wong Fu managed to create a short film and include other youtubers during quarantine. Keep getting creative! Great content!
627,Mavee Johanna Rae,I LOVE HOW U GUYS DID THIS. THIS IS GENIUS PROD WORK
628,hermit_artemis,Dat email address though 
629,Wen Li Yau,SIMU 
630,hermit_artemis,Dont touch the playlist!!
631,Melody S,I am loving this creative story line and surprise appearances!!! Thank you for always delivery and giving the audience what they deserve
632,Jessica Yee,anyone else staring at the folded sleeve on taylors shirt 
633,Kareem Williams,That reveal though!! Nat lives!
634,Victor Chou,Phil lookin' like Shang Chi already with the beard! 
635,JJ Wong,"Damn Phil, keep that facial hair, good looking beast!
I guess we really have the same patches, clansmate. Strong  genes."
636,khin nan cii,Broooooo WEYLIEEEEEEEE ....this was sooo unexpected I didnt know you guys were closeee HAVE HER ON LUNCH BREAK!! PLEASE PLEASE PLEASE PLEASE PLEASE!!!! Wah and Weylie are also OGs and sooo genuine! Would love to meet them! 
637,Cassandra Lian,So much drama 
638,gigi e,The cameos 
639,ervansugih,change the password. DONE. lmao
640,Crystal Zhang,Jen and Justin though 
641,Mayra Aguilar,When she said super high profile woman from Australia! I was like whaaaa!!! I know who that is! It cant be! But it waaass! I squealed!
642,A A,I skipped some parts it got to boring
643,Houston Yu,NAT SIGHTING!
644,Lienan Nguyen,I flipped when I saw Nat. ohmyogood
645,adilah1000,i'm using someone's netflix account :^)
646,I'm HallyuUmma,"Lol, love it!"
647,Eunice Lee,LOL I didn't expect Nat!!
648,Hamid Mahdi,Duuuude I haven't seen Nat in anything on YouTube in a minute!
649,kellishere,Aw dip! Manny!
650,Regina Quiban,MANNY AND WEYLIE!!!!!
651,The Kangster,"This is definitely one of my favorite Wong-fu vids. SO many Asian celebrities, great Netflix references, and so much more. I literally lost it when I saw Manny from the Good Place!"
652,Arielle Seerattan,Love this
653,The Kangster,I literally just finished Season 4 of Kims Convience today. HOW AM I SUPPOSED WAIT THIS LONG FOR SEASON 5?!
654,Harshal mi,"Baat and geo, taika"
655,stupidboyrofl,just change the password. lol
656,Deemak Daksina,Bojack horseman!!
657,James P Gomez,Update: NAT?!?!
658,tracerit,This is such a creative skit!
659,Vang Xiong,1
660,Fe Car,"Yes!!! Great job finding a way to produce meaningful content during this time. Well done, Wong Fu."
661,James P Gomez,So many Canadians in here 
662,Gstarox,SO many faces :O Amazing
663,xhoana koca,"I HAVE MISSED NAT SO MUCH, so glad to see her back in a yt video"
664,xhoana koca,OMFG NATTTTTT
665,Duyen,"My jaw dropped when Natalie turned around. OMFG 






I MISS YOU NAT! "
666,SamiJoie,"As soon as Phil said, ""I'm breaking up,"" the the video resolution dropped. Coincidence? "
667,Jonathan L,I was hoping the final person was going to be Ted.
668,Tamding Wangmo,NATTTTTTTTTT!!! MISSED YOU!! 
669,Kevin Eka,i would changes the password and its all will solve.. not care
670,Kwan_Fung,"6:21 peep the gomtang and cinnamon toast crunch, the taste that you can see"
671,Sarah Wong,Hahaha!!!
672,P Yang,Weylie!!!!
673,Winnie G.,"Yo, this is phenomenal!!! 10/10"
674,Michelle Ji,"Oh man, I literally teared up seeing Natalie. I miss her!!!"
675,Eric Law,Oh my ... hate this XD
676,Gojilla,"Taipeibooty69@hotmail.com 
Phil you sexy beast you"
677,lex,I lost it at Bart dressed like a baby 
678,dblazer321,"good, timely idea for a short"
679,ididnothingmonkey,AHHH NAT <3
680,Alicesyn,Natalie Tran!!!! YAY
681,TheMasttew,this is greaaaaat LMAO
682,Kristy Lin,....this is like the best thing ever
683,Candyroxnrulz,Where's Ryan :(
684,Digital scribbler,Jennifer and her love for Jonas brothers 
685,Lindy T,AHHHH COMMUNITYCHANNEL!!!!!!!
686,welmoepics,Bart in a diaper! 6:28 lol
687,Kek Porkins,"Me: ""No way not Nat.""
Nat: *Turns around*
Me: *Surprised Pikachu face*"
688,John,omg its nat. havent seen her in a while
689,Rena Ogino,wait. is manny jacinto in any other wf videos???
690,Lia Xiong,lol at BART!!
691,Stephanie Wu,wow this collab is iconic
692,Wilson Yeap,"The world is already so divided, dare we to decide to be more divisive  with our devices "
693,Ethy,oh god... change your password
694,Baby Banana,all of this has been a flex on us of famous people
695,Sam Zheng,NATTTTT
696,Nathan Chung,They're really pushing the Justin and Jen ship 
697,chhuy2,Omg it's community channel! My heart skipped a beat when Nat appeared
698,Nathan Chung,SIMUUUUU!!!!!!!
699,calbear14,This video is PURE FLEX!!!
700,tinyjello,YES NAT!
701,Nathan Hoang,"The only thing I hate about this skit is that Phil is such a pushover, I wouldve just stopped at 2 ppl and tell Taylor to get off Bojack. This skits funny asf tho"
702,Bel N,BEST CROSSOVER WHO????
703,Brace Pobo,"WTH COMMUNITY CHANNEL


Been so long"
704,GREY ALIEN420,Wong fu i still love you
705,AllrandomAll,"I have a 12 page paper and its stressing me out

This made me forget all that and smile for just a bit thanks wongfu!"
706,ybrik,Jenn x Justin OTP confirmed
707,Sonja Lund,This was awesome!
708,TheNiueanOne,dare we decide to be more divisive with our devices .. I felt that
709,Dikchong,"you need compassion, you need unity... and you need a haircut"
710,Nice Try Guy,omggggg i wasnt ready for that plot twist. I missed Natalie so muchhhhh!
711,Jon Hsieh,"9:04 who wrote that line, GIVE THAT MAN AN OSCAR"
712,Pau Yee Lew,natalie is the queen. the highlight of this video. hah
713,Bea Pableo,Jenn and Justin we see uuu
714,Artemist,This was so fun! So well done!
715,Almighty Thor,This was good lol 
716,DerekTalks,NATILE TRAN!!!!
717,Bea Pableo,BEANIE WES IS BACK 
718,stephanie tyson,Just change your password thats what my mom does
719,Navo,Damn the OG community channel cameo
720,Misscellanio,Great vid!!!
721,Gia Tang,WEYLIE! 
722,Nami A.,yay! weylie & helen 
723,kalia q,hahaha i love the kwans
724,Pavithra M,Thanks Phil for the login! Watching it from Singapore!
725,さてさてさて,This. Is. Fucking. Amazing.
726,Pavithra M,You managed to get nat to be in your video!? Thats an achievement!
727,Adrian Gaw,But. He can just change his password right?
728,NessMonsta,omg yesss weylie!!!
729,Amy Li,this was super clever holy good job!!!
730,ai ko,I SHIP JEN AND JUSTIN NOW. ALSO MANNY AHHHHH. THERE ARE SO MANY REFERENCES IN THIS ONE I LOVE IT OMGG
731,rosie - o.,that twist tho
732,Ming,"Replace login with corona 

Works weirdly well"
733,Ming,"THECOMMUNITYCHANNEL WHAT IS THIS BILASPHEMY

SHES ALIVE"
734,Jon Hsieh,no time these days lmao
735,Joie Ann Reyes,GOSH I LOVE JUSTIN AND MANNY
736,shinjanaytor,I NEARLY CRIED SEEING NATALIE JFDKLSFJDKSL I MISS HER SO MUCH
737,Isaac Lu,See this is why you should switch up your password every now and then.
738,SirWeAre,BART LOL
739,Odelia Law,lol cant u just change ur password? haha
740,AstroAnth,Havnt has a laugh like that at the end in quite some time wongfu. *slow claps* well done wongfu!... well done .. *ends slow claps*
741,Inah Solacito,Hahahaha i love this!!!
742,Lars Chue,"If you don't respect the privacy of my streaming services passwords then you don't deserve my honesty. #JK

WongFu universe = CommunityChannel comeback.

Missing Rocket Jump, KevJumba, and Nigahiga though."
743,Christine Hahn,Okay but I actually ship Justin and Jenn...
744,Jade T,Oh my god sooooooo good! I was so hopefully when you said Australia
745,Jade T,Oh my god!!!!!!!!!
746,Christina Chuang,ship Jenn Justin
747,Serena F,NOOOOO WAY COMMUNTY CHANNEL
748,lammingtonsreasonjoiningwasforNatsoitcouldtryandmakeittopornomusicslashcommenttime,OMG NAT!!! WHERE IS THE LAMINGTONS VIDEO???
749,Tam Vu,Bro this made my day !
750,amor macayan,manny <3
751,nizm0man,6:37 good to see you mate
752,Peng Yang,This made my quarantined time. Wow. Felt so happy to see everyone
753,REIRA,Really bart in a diaper
754,CadyHorseLover,Omg I was so surprised to see Weylie in here!! Loved that :)
755,M2Waves,Phil watch the Unlisted
756,Megan Olpindo,Phil watch community!!! I legit fangirl-ed when I saw it lol
757,Seth Seth,"TBH, I was waiting for it to be Ted in the end."
758,Tessa Anindya,NATALIE!!!!
759,Bella Moua,Lol BEST skit ever! All the cameos!!!
760,Tommy P,HAHAHHAHA SOLID STUFF
761,Acyv,Is this just a skit of Phil flexing his connections?
762,steamedtofu16,Actually with Natalie's hair I was hoping it was Regina ><
763,Ethan,"It wasnt easy, but I got taipeibioty69s pw, its the same as my luggage combination: 12345"
764,strawberry jam,Bart and taika at the back of geo's video
765,northluckstar,OMG I WAS NOT EXPECTING WEYLIE
766,Michelle Chuang,NATTTTTTTTTTTTTTTT <3
767,Migz Rieta,OMG thank you so much :)
768,SM4LYY,Love it 
769,Joyce Ho,NATTT!!!!! <3
770,strawberry jam,"Wes:Wong Fu fam ,right?"
771,Sean Totanes,THAT CAMEO WAS TOP NOTCH!
772,Joseph Choi,HELEN DEBUTS LOL
773,Tet G. Razon," this is crazy! ""compassion"" "
774,Cassie Vee,Nattttttttttt!
775,Selina W.,OHMYGOD GEOOOOO 
776,The Life of Angela !,Lmfao!!!!!! Love it!!!!!
777,Lina Huang,wowww weylie!! that was a surpriseee :o
778,John Kim,Justin talking about Jen. lol. Also all these cameos.
779,starinvirgo,love this!
780,Gen Jungao,Omgggg Justin and Jennnnn let the ship saiiiiiiilllllll
781,Kor Lor,OMG!! NAT!!! Commuinty Channel!!!!! Thanks for the trip down memory lane!
782,Joneedance,I'm digging phil's quarantine scruff!! He should absolutely keep it
783,julius crowe,I'd just login and change the password. Saves me the trouble.
784,John Kim,I DIED WHEN BART CAME IN HAHA
785,Jaishree Singh,natalie my love <3
786,ruthiemaria,Ahhhhh Nat!!!! <3 <3 <3
787,Melissa Gutierrez,This was too good. Thanks for creating such a great skit! Brightened my day.
788,vicente blanco,Couldn't he have just changed his password
789,UnknownR,Change the pswrd maybe? Im jking nice sketch
790,cxiong,LOLOL this is simply amazing
791,Okay car,NATAALIEEEEEE AAAAHHHH omg so good
792,Christine Calabio,NAT!!!! omg Community Channel ftw! this video was awesome!
793,Tenzin Something Wangyel,"6:26


Look at those 2 babies she has to look after"
794,MrLolmaster101,WES BE LOOKIN LIKE ASIAN IDUBBBZZZZ
795,Redlianx G,Yey for nat ^_^
796,Jason Bak,LOOOL THE ABG THEME SONG <3
797,Bowl of Tofubyul,OMG JASON THE GOOD PLACE HEHE
798,Richard Kwan,"I loved this video, its so funny and relatable and with so many familiar faces!"
799,valeria liu,this! is!! I C O N I C!!!
800,Sabrina Thai,I literally clapped when I saw nat
801,Un1234l,Bart and Taika stole the show IMO. Geo set it up perfectly.
802,Tina Tran,i was so surprised by all these cameos omg weylie??? manny??? nat???
803,Highball Platinum,So glad to see Nat!
804,Kat,OMG NATTTTTTTT!!!!!! I missed Nat so much <3 Great video!! Lots of laughs!
805,GOBbluthagain,This is an amazing video ... all the feels and cameos .. good job Phil
806,Wendy Palomares,This was the video I didnt know I needed 
807,Un1234l,This was just an ad for Simu lmao
808,Jad Papa,Love the subtle reminder that its not about a log in but... you know...
809,Dinzie,"First she started collecting usernames, then she started collecting passwords. When will Nat end her reign of terror"
810,08missEE,"I feel you Phil. My account got spread so bad I had no choice but to change my password only to forget my new password, then finally deactivated my account because I realized the shows I wanted to watch were on Hulu."
811,Jeremy Villasenor,Name dropping famous friends done right
812,Langit,6:28 lol  Bart & Taika in the background
813,Cindy C,So many twists! Love this!!!
814,Jennifer Deng 邓文欣,"That reference of Simu Liu and Kims Convenience, and that fifth season. I love all those people being called by Phil."
815,Jennifer Deng 邓文欣,"That reference of Simu Liu and Kims Convenience, and that fifth season."
816,bujo with zozo,omg this was so funny ahaha
817,SuperPlusExtra,Love the Justin and Jenn part 
818,bea Vue, thank you for the laugh!
819,Sophia Turnbull,This woulda been a cool opportunity to reach out to Ted and Christine - but it was a great short nonetheless :D
820,Redoy Joarder,"Natalie Tran ! We miss you girl ! Hope you are doing well.
And Wong Pu Productions never disappoints !!"
821,alana notmyrealname,i like the metaphor of the video:) now if only we could stop spreading the damn viRus now 
822,Yvonne Au,OMG NAT!!!!!
823,TheWrxGuy,"After all the tracing, still have to change password anyways.. lol"
824,kvang49,Love Anna. Her acting is amazing
825,Jezreel Ruth Punay,"Each time they introduced a new person I freaked out internally thinking ""its TED!!"" Only to my disappointment "
826,Keo Lo,I remember Natalie. I had to go back to her videos and try to find out why she left youtube
827,Zarina Wong,I feel like Natalie came out of retirement for this
828,J.J. Ayala,Phil out here flexing his network of famous friends. Lol.
829,Lovina J,IT'S COMMUNITY CHANNEL I MISSED NATALIE
830,aldy tjandra,this is so relatable !  great work guys
831,Gabs_cool123,As a person who uses her friends Hulu account constantly I feel attacked
832,Lovina J,THE JUSTIN AND JENN BIT GOT ME
833,liquid,Great to see all these you tubers 
834,waterlilygirl7,This was adorable!
835,13din,This is a dig at coronavirus
836,Ahwing Chu,The ending is cracking me up
837,heyrjayyy,"is Jen really talking to ""some guy""??? say it aint so...."
838,Noi Maeshige,This video brought me so much joy! Thank you so much for creating such a wonderful video during this time.
839,Victoria Tecson,YOOO COMMUNITYCHANNEL!!!! AHHHH MY HEART IS HAPPY!!!
840,Joe Higashi,Phil and Taylor are actual roommates? There's gotta be some comedy material in there
841,Kayla Vo,Itaewon Class!!!!
842,Aysha3338,You guys got Manny to be in the vid!
843,Benita C,Natalie!! I couldn't stop grinning when she appeared 
844,Linh Ph,"OMG Natalie!! 
The only missing person is Ted tho... :("
845,Cherryblossom627,NAT IS BACK!!!
846,Justin Kainoa,Omg Nat
847,andre perkins, good to see all these familiar faces!!! All in one place...
848,starbuckcylon,Well done!
849,Nik,OMG!!!!!! IT'S NATALIE TRAN!!!!!
850,HAlC11235,"LOL.  This is when you go into your account, change the password and force re-login."
851,hbl142,I loved this. Thank you!
852,Michael Chau,NATIONAL TREASURE IS ON NETFLIX!?!?!?!
853,TheSammidc,I DID NOT EXPECT TO SEE NATALIEEEEEEEEE WOAHHHHH!!
854,Kristy K,Well played...well played. 
855,Brenda Hernandez,Jen  Justin 
856,Panda B,"So funny..I just started Kim's Convenience today..yea, I know I'm late "
857,nevermore667,A communitychannel video yay
858,heayoung93,OMG MAAAAAAT IS BACKKK
